Periode,Frankrijk,Duitsland,Verenigde Staten,Verenigd Koninkrijk
1700,0.00706077721858023,0.004,0.003,0.00538598282044123
1820,0.00188975441172357,0.002,0.00115824024525442,-0.00473484622408282
1870,0.00398352560554893,0.0058343466044366,-0.00672247043151963,0.000209447928501083
1913,0.131386566284432,0.168367226053832,0.0246913308036201,0.0311435719439033
1950,0.0555604307403157,0.0335731079545412,0.0256837417765285,0.0413797439924106
1970,0.0791468543715514,0.0393557574584185,0.0559205803063734,0.101658790071662
1990,0.0160851232828152,0.0138117095680592,0.0216898643352763,0.026116296562851
