Jaar,BBP
1995,12.5599145802853
1996,12.5757205752173
1997,12.6121542302442
1998,12.6317161273265
1999,12.6667264510822
2000,12.7024199626155
2001,12.7105018557909
2002,12.7281497335061
2003,12.7358652534222
2004,12.7715682562351
2005,12.7922941973927
2006,12.816981584996
2007,12.8503919112081
2008,12.8578351733074
2009,12.8347213041526
2010,12.8613128496068
2011,12.87912170514
2012,12.8806331592143
2013,12.8807986940897
2014,12.8941922087761
