Land,Landbouw,Industrie,Diensten
België,0.616151523589567,21.9401265608535,77.4437219155569
Eurozone,1.61933649947787,24.2929521915631,74.087711308959
VS,1.33423927619933,20.685298096924,77.9804626268767
Japan,1.17344785322831,26.8584112766972,71.9681408700745
Rusland,4.63007864310703,32.6045564415853,62.7653649153076
Latijns-Amerika,5.24185109755634,27.4440001501184,67.3141380862556
China,8.99398529173153,40.5312012067838,50.4747987240579
India,17.391733738112,30.0083304644494,52.5999357974386
D.R. Congo,20.6261580048863,32.4641760856482,46.9096659094656
