Jaar Geobserveerd,Geobserveerd,Jaar Constante,Constante
1917,5035.00524893893,1917,7209.51699706524
1918,4093.53510008931,1918,7321.05966307279
1919,4849.00050828475,1919,7434.32807108844
1920,5668.85217286048,1920,7549.34892107901
1921,5803.34790841043,1921,7666.14932610213
1922,6314.14554236075,1922,7784.75681869747
1923,6485.84222604154,1923,7905.19935737674
1924,6636.07682426222,1924,8027.50533321421
1925,6676.13938378774,1925,8151.7035765391
1926,6844.97445607384,1926,8277.82336373158
1927,7043.85644800408,1927,8405.89442412383
1928,7352.91047862948,1928,8535.94694700801
1929,7231.2919943556,1929,8668.0115887525
1930,7123.98156705511,1930,8802.11948002833
1931,6953.71568907167,1931,8938.30223314743
1932,6591.72184764469,1932,9076.59194951432
1933,6697.60146924783,1933,9217.02122719319
1934,6616.04554449946,1934,9359.623168592
1935,7002.36308278122,1935,9504.43138826548
1936,7029.54839103068,1936,9651.48002083884
1937,7098.22706450299,1937,9800.80372905412
1938,6913.65312954615,1938,9952.43771194096
1939,7368.64934130022,1939,10106.4177131138
1940,6527.33559126439,1940,10262.7800291976
1941,6235.45122900706,1941,10421.5615183836
1942,5718.93037226738,1942,10582.7996091177
1943,5590.15785950679,1943,10746.5323089234
1944,5883.47302746146,1944,10912.7982133608
1945,6199.68108657357,1945,11081.6365151244
1946,6544.50525963247,1946,11253.0870132821
1947,6867.86734723127,1947,11427.1901226565
1948,7188.3678234354,1948,11603.9868833514
1949,7430.17398628583,1949,11783.5189704264
1950,7815.06071887025,1950,11965.8287037201
1951,8222.84034261211,1951,12150.9590578265
1952,8109.80669252226,1952,12338.9536722244
1953,8324.42754712324,1953,12529.8568615648
1954,8626.32754926195,1954,12723.7136261165
1955,8985.45977929425,1955,12920.5696623741
1956,9188.63418831651,1956,13120.4713738291
1957,9293.08300422232,1957,13323.4658819089
1958,9217.2503022633,1958,13529.6010370842
1959,9454.76404802172,1959,13738.9254301481
1960,9946.96120790662,1960,13951.4884036706
1961,10407.1037858664,1961,14167.3400636296
1962,10902.8631393824,1962,14386.5312912217
1963,11298.2452741026,1963,14609.1137548565
1964,11969.3801940753,1964,14835.1399223358
1965,12286.5269879001,1965,15064.6630732218
1966,12582.9899787013,1966,15297.7373113957
1967,12997.2463182566,1967,15534.4175778117
1968,13486.369755091,1968,15774.7596634478
1969,14338.9323195279,1969,16018.8202224568
